LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
40, 1.0, 472093.0, 13436928, 1.0, 472109.0, 14929920, 5183.0, 472139.0, 88704, -3275.0, 465461.0, 3830899, -3275.0, 471198.0, 14929920, 188824.0, 472683.0, 82975,
41, 1.0, 6334.0, 141120, 1.0, 6349.0, 184320, 575.0, 6379.0, 8480, -2882.0, -1.0, 28224, -3275.0, 5567.0, 149432, 6379.0, 6623.0, 7840,
42, 1.0, 13274.0, 235200, 1.0, 13289.0, 307200, 159.0, 13319.0, 50880, -786.0, -1.0, 7840, -3275.0, 10735.0, 161720, 9306.0, 13765.0, 47071,
43, 1.0, 261022.0, 6480000, 1.0, 261029.0, 8294400, 8646.0, 261059.0, 25920, -3275.0, 260123.0, 3559190, -3275.0, 260744.0, 8294400, 261059.0, 261808.0, 24000,
44, 1.0, 10174.0, 235200, 1.0, 10189.0, 307200, 959.0, 10219.0, 8480, -3275.0, 9816.0, 235200, -3275.0, 8255.0, 161720, 10219.0, 10463.0, 7840,
45, 1.0, 13274.0, 235200, 1.0, 13289.0, 307200, 159.0, 13319.0, 50880, -786.0, -1.0, 7840, -3275.0, 10735.0, 161720, 9306.0, 13765.0, 47071,
46, 1.0, 261022.0, 6480000, 1.0, 261029.0, 8294400, 8646.0, 261059.0, 25920, -3275.0, 260123.0, 3559190, -3275.0, 260744.0, 8294400, 261059.0, 261808.0, 24000,
47, 1.0, 10174.0, 235200, 1.0, 10189.0, 307200, 959.0, 10219.0, 8480, -3275.0, 9816.0, 235200, -3275.0, 8255.0, 161720, 10219.0, 10463.0, 7840,
48, 1.0, 13274.0, 235200, 1.0, 13289.0, 307200, 159.0, 13319.0, 50880, -786.0, -1.0, 7840, -3275.0, 10735.0, 161720, 9306.0, 13765.0, 47071,
49, 1.0, 261022.0, 6480000, 1.0, 261029.0, 8294400, 8646.0, 261059.0, 25920, -3275.0, 260123.0, 3559190, -3275.0, 260744.0, 8294400, 261059.0, 261808.0, 24000,
50, 1.0, 20394.0, 470400, 1.0, 20409.0, 614400, 959.0, 20439.0, 16960, -3275.0, 19686.0, 470400, -3275.0, 18475.0, 325470, 20439.0, 20928.0, 15680,
51, 1.0, 30514.0, 627200, 1.0, 30529.0, 819200, 319.0, 30559.0, 67840, -1572.0, -1.0, 15680, -3275.0, 29875.0, 435990, 16026.0, 31495.0, 62751,
52, 1.0, 42882.0, 40960, 1.0, 42889.0, 1280000, 1310.0, 42919.0, 3048, -131.0, -1.0, 1280, -3275.0, 42542.0, 1280000, 42943.0, 42974.0, 1000,
